Time,RPM,Setpoint
1439796,1200.00,1800.00
1441920,1200.00,1800.00
1444044,1200.00,1800.00
1446172,1200.00,1800.00
1448296,1200.00,1800.00
1450428,900.00,1800.00
1452460,1200.00,1800.00
1454588,1200.00,1800.00
1456712,1200.00,1800.00
1458868,1200.00,1800.00
1460960,1200.00,1800.00
1463084,900.00,1800.00
1465132,900.00,1800.00
1467164,900.00,1800.00
1469208,900.00,1800.00
1471248,900.00,1800.00
1473288,900.00,1800.00
1475324,1200.00,1800.00
1477452,900.00,1800.00
1479492,900.00,1800.00
1481532,900.00,1800.00
1483572,900.00,1800.00
1485612,900.00,1800.00
1487652,900.00,1800.00
1489692,900.00,1800.00
1491732,900.00,1800.00
1493772,900.00,1800.00
1495816,900.00,1800.00
1497852,600.00,1800.00
1499892,900.00,1800.00
1501932,600.00,1800.00
1503972,900.00,1800.00
1506044,600.00,1800.00
1508084,900.00,1800.00
1510128,600.00,1800.00
1512164,900.00,1800.00
1514204,900.00,1800.00
1516244,900.00,1800.00
1518284,900.00,1800.00
1520324,900.00,1800.00
1522364,1200.00,1800.00
1524488,900.00,1800.00
1526528,1200.00,1800.00
1528652,900.00,1800.00
1530692,900.00,1800.00
1532732,1200.00,1800.00
1534856,1200.00,1800.00
1536988,1200.00,1800.00
1539108,1200.00,1800.00
1541232,900.00,1800.00
1543272,1200.00,1800.00
1545396,1200.00,1800.00
1547524,900.00,1800.00
1549564,1200.00,1800.00
1551688,1200.00,1800.00
1553876,1200.00,1800.00
1555944,1200.00,1800.00
1558068,1200.00,1800.00
1560188,1200.00,1800.00
1562312,1500.00,1800.00
1564436,1200.00,1800.00
1566564,1200.00,1800.00
1568688,1200.00,1800.00
1570812,1500.00,1800.00
1572940,1200.00,1800.00
1575120,1200.00,1800.00
1577188,1200.00,1800.00
1579312,1200.00,1800.00
1581436,1200.00,1800.00
1583564,1500.00,1800.00
1585696,1500.00,1800.00
1587812,1200.00,1800.00
1589936,1500.00,1800.00
1592064,1500.00,1800.00
1594188,1500.00,1800.00
1596368,1500.00,1800.00
1598436,1200.00,1800.00
1600564,1500.00,1800.00
1602688,1500.00,1800.00
1604812,1500.00,1800.00
1606984,1500.00,1800.00
1609112,1500.00,1800.00
1611236,1500.00,1800.00
1613360,1200.00,1800.00
1615484,1500.00,1800.00
1617620,1500.00,1800.00
1619736,1500.00,1800.00
1621860,1200.00,1800.00
1623984,1500.00,1800.00
1626112,1200.00,1800.00
1628236,1500.00,1800.00
1630360,1200.00,1800.00
1632484,1200.00,1800.00
1634612,1200.00,1800.00
1636736,1200.00,1800.00
1638876,900.00,1800.00
1640900,1200.00,1800.00
1643024,1200.00,1800.00
1645152,900.00,1800.00
1647192,1200.00,1800.00
1649316,900.00,1800.00
1651376,900.00,1800.00
1653396,900.00,1800.00
1655436,1200.00,1800.00
1657620,1200.00,1800.00
1659684,900.00,1800.00
1661724,1200.00,1800.00
1663876,900.00,1800.00
1665892,900.00,1800.00
1667932,900.00,1800.00
1669972,900.00,1800.00
1672012,900.00,1800.00
1674052,900.00,1800.00
1676092,900.00,1800.00
1678132,900.00,1800.00
1680172,900.00,1800.00
1682212,900.00,1800.00
1684252,900.00,1800.00
1686372,900.00,1800.00
1688332,900.00,1800.00
1690372,900.00,1800.00
1692412,600.00,1800.00
1694452,900.00,1800.00
1696492,900.00,1800.00
1698532,900.00,1800.00
1700572,600.00,1800.00
1702620,900.00,1800.00
1704652,900.00,1800.00
1706724,600.00,1800.00
1708764,600.00,1800.00
1710804,900.00,1800.00
1712844,600.00,1800.00
1714884,900.00,1800.00
1716924,900.00,1800.00
1718964,900.00,1800.00
1721004,900.00,1800.00
1723044,900.00,1800.00
1725120,900.00,1800.00
1727124,1200.00,1800.00
1729248,900.00,1800.00
1731356,1200.00,1800.00
1733420,1200.00,1800.00
1735540,900.00,1800.00
1737620,900.00,1800.00
1739620,900.00,1800.00
1741660,1200.00,1800.00
1743784,900.00,1800.00
1745824,1200.00,1800.00
1747948,1200.00,1800.00
1750124,1200.00,1800.00
1752200,1200.00,1800.00
1754324,1200.00,1800.00
1756448,1200.00,1800.00
1758572,1200.00,1800.00
1760700,1500.00,1800.00
1762824,1200.00,1800.00
1764948,1200.00,1800.00
1767072,1500.00,1800.00
1769200,1200.00,1800.00
1771376,1200.00,1800.00
1773448,1200.00,1800.00
1775572,1500.00,1800.00
1777700,1200.00,1800.00
1779824,1200.00,1800.00
1781948,1200.00,1800.00
1784080,1500.00,1800.00
1786200,1500.00,1800.00
1788324,1500.00,1800.00
1790448,1200.00,1800.00
1792624,1200.00,1800.00
1794700,1500.00,1800.00
1796824,1200.00,1800.00
1798948,1500.00,1800.00
1801072,1500.00,1800.00
1803200,1200.00,1800.00
1805372,1500.00,1800.00
1807496,1500.00,1800.00
1809620,1500.00,1800.00
1811748,1500.00,1800.00
1813872,1500.00,1800.00
1815996,1500.00,1800.00
1818120,1500.00,1800.00
1820248,1200.00,1800.00
1822372,1500.00,1800.00
1824496,1200.00,1800.00
1826620,1200.00,1800.00
1828748,1200.00,1800.00
1830872,1200.00,1800.00
1832996,1200.00,1800.00
1835128,900.00,1800.00
1837160,1200.00,1800.00
1839288,1200.00,1800.00
1841412,1200.00,1800.00
1843536,1200.00,1800.00
1845660,900.00,1800.00
1847708,1200.00,1800.00
1849828,900.00,1800.00
1851868,900.00,1800.00
1853908,1200.00,1800.00
1856032,900.00,1800.00
1858072,1200.00,1800.00
1860196,1200.00,1800.00
1862328,900.00,1800.00
1864360,1200.00,1800.00
1866488,900.00,1800.00
1868528,900.00,1800.00
1870568,900.00,1800.00
1872624,900.00,1800.00
1874648,900.00,1800.00
1876688,900.00,1800.00
1878728,900.00,1800.00
1880768,900.00,1800.00
1882808,900.00,1800.00
1884848,900.00,1800.00
1886888,600.00,1800.00
1888928,900.00,1800.00
1890968,900.00,1800.00
1893008,600.00,1800.00
1895116,900.00,1800.00
1897088,900.00,1800.00
1899128,900.00,1800.00
1901168,900.00,1800.00
1903208,900.00,1800.00
1905280,600.00,1800.00
1907320,600.00,1800.00
1909360,900.00,1800.00
1911400,900.00,1800.00
1913440,900.00,1800.00
1915480,900.00,1800.00
1917520,900.00,1800.00
1919560,1200.00,1800.00
1921684,900.00,1800.00
1923724,1200.00,1800.00
1925852,1200.00,1800.00
1927976,1200.00,1800.00
1930120,1200.00,1800.00
1932224,1200.00,1800.00
1934356,1200.00,1800.00
1936476,1500.00,1800.00
1938600,1200.00,1800.00
1940724,1200.00,1800.00
1942852,1500.00,1800.00
1944976,1500.00,1800.00
1947100,1500.00,1800.00
1949224,1200.00,1800.00
1951368,1500.00,1800.00
1953476,1500.00,1800.00
1955600,1500.00,1800.00
1957724,1500.00,1800.00
1959852,1500.00,1800.00
1961976,1500.00,1800.00
1964100,1500.00,1800.00
1966224,1500.00,1800.00
1968352,1500.00,1800.00
1970476,1500.00,1800.00
1972624,1500.00,1800.00
1974724,1500.00,1800.00
1976852,1800.00,1800.00
1978976,1500.00,1800.00
1981100,1800.00,1800.00
1983224,1800.00,1800.00
1985352,1800.00,1800.00
1987476,1800.00,1800.00
1989600,1800.00,1800.00
1991724,1800.00,1800.00
1993868,1800.00,1800.00
1995976,1800.00,1800.00
1998100,1800.00,1800.00
2000224,1800.00,1800.00
2002352,1800.00,1800.00
2004476,1800.00,1800.00
2006640,1800.00,1800.00
2008764,1800.00,1800.00
2010888,1800.00,1800.00
2013016,1800.00,1800.00
2015140,1500.00,1800.00
2017264,1500.00,1800.00
2019396,1500.00,1800.00
2021516,1800.00,1800.00
2023640,1500.00,1800.00
2025772,1500.00,1800.00
2027888,1500.00,1800.00
2030016,1500.00,1800.00
2032140,1500.00,1800.00
2034264,1200.00,1800.00
2036388,1500.00,1800.00
2038516,1200.00,1800.00
2040640,1500.00,1800.00
2042764,1200.00,1800.00
2044888,1200.00,1800.00
2047016,1500.00,1800.00
2049140,1200.00,1800.00
2051264,1200.00,1800.00
2053388,1200.00,1800.00
